id,_id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,ea_index,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,id,in_dreamteam,influence,loaned_in,loaned_out,loans_in,loans_out,minutes,news,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
53,590481173863452abf32c3fe,0,0,9,100.0,100.0,0,178304,0,0,-4,4,33.4,0,0,4,0.6,0.6,1,Lys,0.6,2,0,7.8,53,False,7.2,0,0,0,0,78,,51,0,0,0,178304.jpg,1.0,0,0,Mousset,0.1,False,31.0,a,2,91,43.0,7,1619,26,3578,15,0.1,1.4,Mousset,0
54,590481173863452abf32c3ff,0,21,673,100.0,100.0,9,21205,0,0,7,-7,20.3,4,0,1,3.8,2.8,2,Tom,3.8,42,0,93.5,54,True,914.6,0,0,0,0,2790,,52,0,0,1,21205.jpg,4.5,0,130,Heaton,19.9,False,1.0,a,3,90,0.0,138,949195,5246,379833,14143,0.7,26.5,Heaton,1
55,590481173863452abf32c400,2,5,559,100.0,100.0,8,68983,0,0,0,0,443.4,0,0,2,2.8,1.8,0,Matthew,2.8,47,0,120.4,55,False,685.6,0,0,0,0,2880,,45,0,0,0,68983.jpg,2.5,0,0,Lowton,0.8,False,2.0,a,3,90,76.0,81,53025,1342,37928,940,0.6,18.0,Lowton,9
56,590481173863452abf32c401,2,6,592,50.0,,9,51927,0,0,2,-2,93.7,0,0,2,1.5,2.0,0,Ben,3.0,49,1,126.7,56,False,890.0,0,0,0,0,3015,Ankle injury - 50% chance of playing,47,2,0,0,51927.jpg,2.8,0,0,Mee,3.4,False,6.0,d,3,90,281.0,94,238766,471,129102,20952,0.6,20.0,Mee,5
57,590481173863452abf32c402,0,3,539,75.0,100.0,8,40616,0,0,0,0,342.2,0,0,2,2.4,2.2,1,Stephen,3.2,47,1,103.0,57,False,564.2,0,0,0,0,2915,Knee injury - 75% chance of playing,45,0,0,0,40616.jpg,2.5,0,0,Ward,1.7,False,23.0,d,3,90,124.0,84,119590,861,55642,5651,0.7,18.7,Ward,5
58,590481173863452abf32c403,1,8,588,,,9,106611,0,0,1,-1,96.2,3,0,2,3.2,2.2,1,Michael,3.2,49,2,152.9,58,False,894.6,0,0,0,0,3060,,51,0,0,0,106611.jpg,3.1,0,0,Keane,4.2,False,5.0,a,3,90,537.0,105,234080,4328,118768,4133,0.6,20.6,Keane,4
59,590481173863452abf32c404,0,0,53,,,0,17761,0,0,0,0,41.7,0,0,2,0.6,-0.4,1,James,0.6,5,0,11.4,59,False,51.6,0,0,0,0,208,,40,0,0,0,17761.jpg,0.9,0,0,Tarkowski,1.7,False,26.0,a,3,90,26.0,14,77609,190,80772,704,0.1,3.5,Tarkowski,1
60,590481173863452abf32c405,0,0,0,,,0,85017,0,0,-3,3,0.0,0,0,2,0.0,-1.0,0,Tendayi,0.0,0,0,0.0,60,False,0.0,0,0,0,0,0,,42,0,0,0,85017.jpg,0.0,0,0,Darikwa,0.1,False,27.0,a,3,90,0.0,0,1120,19,2339,24,0.0,0.0,Darikwa,0
61,590481173863452abf32c406,0,0,8,0.0,0.0,0,19556,0,0,0,0,11.7,0,0,3,0.0,0.0,0,David,0.0,1,0,1.3,61,False,0.0,0,0,0,0,86,Transferred to Sheffield Wednesday,50,0,0,0,19556.jpg,1.0,0,0,Jones,0.0,False,14.0,u,3,90,2.0,1,190,0,3027,2,0.0,0.2,Jones,1
62,590481173863452abf32c407,1,1,348,100.0,100.0,8,28244,0,0,-4,4,229.2,0,0,3,3.4,2.4,2,George,3.4,42,2,87.1,62,False,300.8,0,0,0,0,2611,,51,0,0,0,28244.jpg,2.5,0,0,Boyd,0.2,False,21.0,a,3,90,343.0,82,11011,294,14551,347,0.7,16.1,Boyd,3
63,590481173863452abf32c408,2,3,231,75.0,75.0,5,39158,0,0,-3,3,464.8,1,0,3,0.3,-0.4,0,Scott,0.4,31,1,96.5,63,False,196.0,0,0,0,0,1767,Knee injury - 75% chance of playing,52,0,0,0,39158.jpg,2.2,0,0,Arfield,0.1,False,37.0,d,3,90,306.0,60,4718,2,8150,40,0.1,11.5,Arfield,3
64,590481173863452abf32c409,2,1,239,0.0,0.0,5,15982,0,0,-2,2,88.7,0,0,3,0.0,0.0,0,Dean,0.0,28,1,40.5,64,False,244.4,0,0,0,0,1764,Knee injury - Unknown return date,43,0,0,0,15982.jpg,2.4,0,0,Marney,0.4,False,8.0,i,3,90,73.0,51,68768,22,67959,235,0.0,11.9,Marney,7
65,590481173863452abf32c40a,0,0,0,0.0,0.0,0,95508,0,0,-1,1,0.0,0,0,3,0.0,0.0,0,Fredrik,0.0,0,0,0.0,65,False,0.0,0,0,0,0,0,Joined Charlton in season-long loan deal,44,0,0,0,95508.jpg,0.0,0,0,Ulvestad,0.1,False,20.0,u,3,90,0.0,0,578,0,2377,4,0.0,0.0,Ulvestad,0
66,590481173863452abf32c40b,0,0,20,0.0,0.0,0,15944,0,0,-3,3,9.3,0,0,3,0.0,0.0,0,Michael,0.0,1,0,1.5,66,False,2.8,0,0,0,0,104,Season-long loan to Burton Albion,42,0,0,0,15944.jpg,1.2,0,0,Kightly,0.6,False,11.0,u,3,90,4.0,6,29222,4,33621,261,0.0,1.4,Kightly,0
67,590481173863452abf32c40c,4,7,292,75.0,75.0,4,40399,0,0,-4,4,216.8,0,0,4,1.5,0.8,0,Sam,2.0,28,6,126.2,67,False,371.4,0,0,0,0,1704,Hamstring injury - 75% chance of playing,56,0,0,0,40399.jpg,2.8,0,0,Vokes,1.7,False,9.0,d,3,90,682.0,92,338019,350,309070,4457,0.4,16.4,Vokes,0
68,590481173863452abf32c40d,2,10,260,100.0,100.0,8,73426,0,0,-5,5,284.7,1,0,4,1.6,0.6,2,Andre,1.6,30,8,125.4,68,False,365.6,0,0,0,0,2114,,60,0,0,0,73426.jpg,3.4,0,0,Gray,4.1,False,7.0,a,3,90,611.0,96,468683,3126,746437,7790,0.3,16.0,Gray,2
69,590481173863452abf32c40e,0,0,5,0.0,0.0,0,34654,0,0,-2,2,1.0,0,0,4,0.0,0.0,0,Lukas,0.0,0,0,0.3,69,False,0.4,0,0,0,0,13,Joined Birmingham City in permanent deal on 3/1,43,0,0,0,34654.jpg,1.0,0,0,Jutkiewicz,0.6,False,19.0,u,3,90,2.0,2,14430,73,30503,174,0.0,0.5,Jutkiewicz,0
70,590481173863452abf32c40f,2,7,180,100.0,100.0,5,44699,0,0,0,0,202.5,1,0,4,1.4,0.4,2,Ashley,1.4,24,5,103.1,70,False,254.0,0,0,0,0,1560,,45,0,0,0,44699.jpg,2.8,1,0,Barnes,3.2,False,10.0,a,3,90,589.0,66,332104,4142,217692,10216,0.3,14.7,Barnes,5
71,590481173863452abf32c410,0,0,0,0.0,0.0,0,37002,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Rouwen,0.0,0,0,0.0,71,False,0.0,0,0,0,0,0,Season-long loan to Fortuna Dusseldorf,45,0,0,0,37002.jpg,0.0,0,0,Hennings,0.0,False,18.0,u,3,90,0.0,0,721,4,4063,5,0.0,0.0,Hennings,0
72,590481173863452abf32c411,0,0,0,0.0,0.0,0,153678,0,0,0,0,0.0,0,0,4,0.0,0.0,0,Chris,0.0,0,0,0.0,72,False,0.0,0,0,0,0,0,Season-long loan to Fleetwood Town,45,0,0,0,153678.jpg,0.0,0,0,Long,0.3,False,24.0,u,3,90,0.0,0,5735,32,34189,62,0.0,0.0,Long,0
