,team_code,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,element_type,target,target_minutes,target_home,target_team,bayes_global,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
47,3,11,990.0,28.0,32.0,544.0,14.0,3640,88,33.0,990.0,0.0,352.0,111.35989084428407,46.00000000000001,989.9999999999999,13.666666666666668,49.00000000000001,985.3999999999999,13.4,50.20000000000001,902.9999999999999,12.4,47.58052641452917,52.079036983583066,1000.0296897018555,14.079508394713622,58.536940836940836,10740.0,564.0,183.0,3697.0,149.0
48,3,12,990.0,33.0,0.0,352.0,14.0,3640,88,49.0,990.0,32.0,64.0,110.93978715789942,39.33333333333333,989.9999999999999,14.0,42.599999999999994,985.4,13.6,47.800000000000004,895.8000000000001,12.4,47.234476395583286,49.7157280593008,998.4908116493071,14.008826192329183,58.71139138639139,11730.0,597.0,183.0,4049.0,163.0
49,3,13,990.0,49.0,32.0,64.0,14.0,3640,88,66.0,990.0,0.0,640.0,110.83385343116164,36.666666666666664,989.9999999999999,14.0,44.0,990.0000000000001,13.8,50.50000000000001,987.7,13.700000000000003,49.61989025858674,49.55192971046137,997.3053492181025,13.973816229635746,60.1467254967255,12720.0,646.0,215.0,4113.0,177.0
50,3,14,990.0,66.0,0.0,640.0,14.0,3640,88,54.0,990.0,32.0,448.0,111.15560820248655,49.33333333333333,990.0,14.0,46.60000000000001,990.0000000000001,14.000000000000002,53.0,987.7,13.700000000000003,51.9796492210436,51.322055422817975,996.3598784133981,13.955682843193342,62.13161283161283,13710.0,712.0,215.0,4753.0,191.0
51,3,15,990.0,54.0,32.0,448.0,14.0,3640,88,27.0,990.0,0.0,192.0,111.22541832933592,56.333333333333336,990.0000000000001,13.999999999999998,46.0,989.9999999999999,14.000000000000002,52.400000000000006,987.6999999999999,13.700000000000003,49.133991795651895,51.55369516384491,994.5982203823216,13.946462050913048,62.63580586080587,14700.0,766.0,247.0,5201.0,205.0
52,3,16,990.0,27.0,0.0,192.0,14.0,3640,88,27.0,990.0,0.0,320.0,110.70628557531671,49.0,990.0000000000001,14.0,45.800000000000004,990.0000000000001,14.0,47.4,987.7000000000002,13.700000000000001,47.91328088167964,49.066327876944555,993.039052560013,13.942267954642544,61.21929181929181,15690.0,793.0,247.0,5393.0,219.0
53,3,17,990.0,27.0,0.0,320.0,14.0,3640,88,60.0,990.0,32.0,608.0,110.21303163753397,36.00000000000001,990.0000000000001,14.000000000000002,44.60000000000001,989.9999999999999,14.000000000000002,43.6,987.7000000000002,13.8,43.00726669971675,46.89516870387604,991.870087538178,13.9299398810022,59.77529561941326,16680.0,820.0,247.0,5713.0,233.0
54,3,18,990.0,60.0,32.0,608.0,14.0,3640,88,68.0,990.0,32.0,160.0,110.43221468771364,38.0,990.0,14.0,46.800000000000004,989.9999999999999,14.000000000000002,45.4,990.0000000000002,13.900000000000002,44.871675478691024,48.10797876754639,991.2083791104141,13.93253751034701,61.82708256226057,17670.0,880.0,279.0,6321.0,247.0
55,3,19,990.0,68.0,32.0,160.0,14.0,3640,88,43.0,990.0,0.0,64.0,110.83680462944918,51.666666666666664,990.0000000000001,13.999999999999998,47.2,989.9999999999999,14.0,46.9,990.0000000000001,14.000000000000004,46.69582861799813,49.92188043780788,991.1475270823912,13.935749813927728,63.973169254206404,18660.0,948.0,311.0,6481.0,261.0
56,3,20,990.0,43.0,0.0,64.0,14.0,3640,88,75.0,990.0,0.0,512.0,110.73317156065258,56.99999999999999,989.9999999999999,14.0,44.99999999999999,990.0,14.0,45.49999999999999,990.0,14.000000000000002,46.989049840080746,49.32171415033326,991.4350431133582,13.946700382893532,64.3672035480859,19650.0,991.0,311.0,6545.0,275.0
