web_name,Unnamed: 0,Unnamed: 1,minutes,total_points,was_home,opponent_team,appearances,target_home,gameweek,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean10,minutes_mean10,appearances_mean10,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all,opponent_1,opponent_2,opponent_3,opponent_4,opponent_5,opponent_6,opponent_7,opponent_8,opponent_9,opponent_10,opponent_11,opponent_12,opponent_13,opponent_14,opponent_15,opponent_16,opponent_17,opponent_18,opponent_19,opponent_20,opponent_999,team_1,team_3,team_6,team_8,team_11,team_13,team_14,team_20,team_21,team_25,team_31,team_35,team_43,team_56,team_57,team_80,team_88,team_90,team_91,team_110,position_1,position_2,position_3,position_4,target
Borini,353.0,34.0,90.0,1.0,1.0,2.0,1.0,0.0,34.0,3.0,39.66666666666666,1.0,2.0,61.5,1.0,2.4,46.8,1.0,2.0,1382.0,42.0,18.0,362.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Defoe,354.0,34.0,90.0,2.0,1.0,2.0,1.0,0.0,34.0,2.0,90.0,1.0,2.0,90.0,1.0,2.0,90.0,1.0,4.457142857142856,3052.0,156.0,18.0,362.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0
Fabianski,355.0,34.0,90.0,9.0,1.0,14.0,1.0,0.0,34.0,5.333333333333333,90.0,1.0,3.6,90.0,1.0,4.8,90.0,1.0,2.8285714285714287,3060.0,99.0,17.0,337.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
Naughton,357.0,34.0,90.0,5.0,1.0,14.0,1.0,0.0,34.0,3.0,90.0,1.0,2.9,69.9,0.8,4.4,86.2,1.0,2.0357142857142856,2354.0,57.0,17.0,337.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Williams,358.0,34.0,90.0,5.0,0.0,20.0,1.0,1.0,34.0,4.0,60.0,0.6666666666666666,4.1,81.0,0.9,3.6,72.0,0.8,3.575757575757576,2800.0,118.0,17.0,369.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Fernández,362.0,34.0,90.0,6.0,1.0,14.0,1.0,0.0,34.0,3.0,90.0,1.0,3.0,90.0,1.0,3.2,90.0,1.0,1.9166666666666667,2070.0,46.0,17.0,337.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Kingsley,364.0,34.0,90.0,6.0,1.0,14.0,1.0,0.0,34.0,2.0,30.0,0.3333333333333333,0.7,18.0,0.2,1.2,18.0,0.2,2.1666666666666665,945.0,26.0,17.0,337.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Sigurdsson,367.0,34.0,90.0,6.0,1.0,14.0,1.0,0.0,34.0,3.333333333333333,90.0,1.0,4.0,90.0,1.0,3.0,90.0,1.0,4.571428571428571,2967.0,160.0,17.0,337.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0
Britton,369.0,34.0,84.0,3.0,1.0,14.0,1.0,0.0,34.0,1.0,28.0,0.3333333333333333,0.3,8.4,0.1,0.6,16.8,0.2,1.7692307692307692,886.0,23.0,17.0,337.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Ayew,373.0,34.0,90.0,3.0,1.0,6.0,1.0,0.0,34.0,4.0,88.33333333333331,1.0,4.1,62.1,0.9,3.2,89.0,1.0,2.9545454545454546,1122.0,65.0,17.0,337.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
