,team_code,element_type,gameweek,minutes,total_points,was_home,opponent_team,appearances,id,target,target_minutes,target_home,target_team,total_points_mean3,minutes_mean3,appearances_mean3,total_points_mean5,minutes_mean5,appearances_mean5,total_points_mean10,minutes_mean10,appearances_mean10,total_points_std10,total_points_ewma,minutes_ewma,appearances_ewma,total_points_mean_all,minutes_mean_all,appearances_mean_all,minutes_sum_all,total_points_sum_all,was_home_sum_all,opponent_team_sum_all,appearances_sum_all
544,8,3,27,435.0,28.0,0.0,300.0,7.0,1769,19.0,447.0,0.0,210.0,-1.3585087719298237,-77.36636452241714,-2.6731091617933718,-4.758508771929825,-74.6330311890838,-2.6731091617933718,-3.4585087719298233,-53.53303118908383,-2.573109161793372,16.02699997773633,-4.354422113165488,-65.11600480908899,-2.670633271341378,30.358508771929824,519.0330311890838,9.673109161793374,12186.0,693.0,194.0,4290.0,189.0
545,8,3,28,447.0,19.0,0.0,210.0,7.0,1769,22.0,451.0,15.0,75.0,-2.6592836792836794,-80.32424094424096,-2.7662474562474566,-3.7259503459503467,-78.52424094424094,-2.7662474562474566,-5.425950345950346,-66.02424094424096,-2.666247456247456,21.46379356243492,-4.869817071621199,-68.95022648760755,-2.764205116465952,30.325950345950346,522.3242409442411,9.766247456247456,12633.0,712.0,194.0,4500.0,196.0
546,8,3,29,451.0,22.0,15.0,75.0,7.0,1769,21.0,405.0,15.0,150.0,-7.371752768304493,-79.86023535851123,-2.825377177101315,-4.771752768304493,-79.59356869184458,-2.825377177101315,-6.671752768304492,-66.89356869184459,-2.725377177101315,22.003352350031832,-5.183097379112257,-71.00492210082542,-2.8236941829084867,30.371752768304496,524.1935686918446,9.825377177101315,13084.0,734.0,209.0,4575.0,203.0
547,8,3,30,405.0,21.0,15.0,150.0,7.0,1769,20.0,450.0,0.0,30.0,-9.607228276193792,-90.08622182415286,-2.867152643014712,-5.073894942860461,-88.0195551574862,-2.867152643014712,-5.573894942860461,-73.61955515748619,-2.767152643014712,21.9013079613704,-5.406003968686582,-74.9204748728686,-2.8657680095683555,30.27389494286046,524.4195551574862,9.867152643014713,13489.0,755.0,224.0,4725.0,210.0
548,8,3,31,450.0,20.0,0.0,30.0,7.0,1769,11.0,458.0,0.0,165.0,-9.028293764024284,-88.40186101265803,-2.876214696031401,-8.028293764024285,-86.13519434599135,-2.876214696031401,-6.628293764024285,-81.23519434599137,-2.8762146960314006,18.707012286218006,-5.5295914508700434,-74.1994142839372,-2.875078131139076,30.028293764024284,523.7351943459914,9.8762146960314,13939.0,775.0,224.0,4755.0,217.0
549,8,3,32,458.0,11.0,0.0,165.0,8.0,1769,23.0,445.0,15.0,195.0,-12.163241454349627,-86.28179149672476,-2.5751242562282606,-10.896574787682962,-81.74845816339143,-2.708457589561594,-7.3965747876829635,-80.64845816339141,-2.808457589561594,17.049572134143734,-6.012356709709526,-73.77771984169163,-2.8323833910140843,29.496574787682963,523.9484581633915,9.908457589561595,14397.0,786.0,224.0,4920.0,225.0
550,8,3,33,445.0,23.0,15.0,195.0,7.0,1769,37.0,450.0,0.0,90.0,-11.424214378811154,-72.75114532420983,-2.5829928897267607,-10.024214378811152,-81.95114532420982,-2.716326223060094,-6.424214378811152,-80.95114532420979,-2.816326223060094,12.55156618995335,-5.97620294365483,-73.96671992846953,-2.8460248232823013,29.424214378811154,523.7511453242099,9.916326223060093,14842.0,809.0,239.0,5115.0,232.0
551,8,3,34,450.0,37.0,0.0,90.0,7.0,1769,31.0,450.0,15.0,180.0,-6.124801729474404,-72.23427024956911,-2.5903522500059504,-7.39146839614107,-81.63427024956911,-2.7236855833392832,-5.79146839614107,-80.13427024956911,-2.8236855833392833,16.923549796159914,-5.341049389813672,-73.43467410454369,-2.8586719057766494,29.79146839614107,523.2342702495691,9.923685583339283,15292.0,846.0,239.0,5205.0,239.0
552,8,3,35,450.0,31.0,15.0,180.0,7.0,1769,16.0,430.0,0.0,285.0,0.30115139490139553,-77.4670256486433,-2.940854801516566,-5.632181938431938,-75.20035898197665,-2.7408548015165657,-5.232181938431938,-82.30035898197663,-2.840854801516566,20.35098856652816,-5.1001993958334415,-75.98155393067604,-2.880176438268296,30.03218193843194,525.8003589819766,9.940854801516565,15742.0,877.0,254.0,5385.0,246.0
553,8,3,36,430.0,16.0,0.0,285.0,6.0,1769,21.0,441.0,15.0,270.0,-1.8053730583142353,-84.4471097529921,-3.279874373992021,-6.205373058314234,-81.18044308632545,-2.946541040658688,-7.005373058314236,-85.68044308632543,-2.946541040658688,18.46397282699568,-5.525407570713301,-79.4090494768696,-2.9633757850772753,29.805373058314235,527.7804430863254,9.946541040658687,16172.0,893.0,254.0,5670.0,252.0
554,8,3,37,441.0,21.0,15.0,270.0,7.0,1769,,,,,-7.600439339790252,-114.8263962429277,-3.460229065502899,-4.667106006456918,-111.95972957626103,-3.3268957321695654,-8.167106006456919,-112.459729576261,-3.1268957321695656,20.123279496102633,-6.224754252648396,-107.28984530539338,-3.1421563779185524,30.267106006456913,555.1597295762609,10.126895732169565,16613.0,914.0,269.0,5940.0,259.0
